refID,doi,pubmed_id,title,authors,journal,year,month,day,SiC_label_count,SiC_Type,amorphousSiC,otherSiC,crystalline_other_unspecified,crystalline_3C-SiC,crystalline_4H-SiC,crystalline_6H-SiC,Category_label_count,Category,NeuralEng,Biosensor,Cardiovascular,Orthopedic_Dental,DrugRelease,GeneralImplants_OtherTech,Data_label_count,Data_Reported,InVivo_animal,InVivo_human,MaterialProperties,FabricationMethods,Benchtop,CellCulture_InVitro,ExVivo
"Dahm, J 2009",10.4244/eijv4i4a85,19284073,"Clinical investigation into the observation that silicon carbide coating on cobalt chromium stents leads to early differentiating functional endothelial layer, increased safety and DES-like recurrent stenosis rates: results of the PRO-Heal Registry (PRO-Kinetic enhancing rapid in-stent endothelialisation)","Dahm, JB and Willems, T and Wolpers, HG and Nordbeck, H and Becker, J and Ruppert, J",EuroIntervention,2009,1,,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Cardiovascular,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,"MaterialProperties,CellCulture,InVivo_Human",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"Das, M 2024",10.1016/j.jmbbm.2023.106290,38088010,Enhanced toughness and strength of 3D printed carbide-oxide composite for biomedical applications,"Das, M and Dixit, A and Jana, A and Karthik, R and Sreeram, PR and Bora, H and Dhara, S and Panda, SK and Tiwary, CS",Journal of the mechanical behavior of biomedical materials,2024,11,28,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,"Fabrication,MaterialProperties,Benchtop,CellCulture",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"de Carlos, A 2006",10.1007/s10856-006-8935-1,16691350,Behaviour of MG-63 osteoblast-like cells on wood-based biomorphic SiC ceramics coated with bioactive glass,"de Carlos, A and Borrajo, JP and Serra, J and Gonzalez, P and Leon, B",Journal of materials science. Materials in medicine,2006,6,15,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,"Fabrication,MaterialProperties,CellCulture",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"Deeken, C 2011a",10.1002/jbm.b.31778,21210516,"Assessment of the biocompatibility of two novel, bionanocomposite scaffolds in a rodent model","Deeken, CR and Esebua, M and Bachman, SL and Ramshaw, BJ and Grant, SA","Journal of biomedical materials research. Part B, Applied biomaterials",2011,1,5,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,OtherTechnologies,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,"MaterialProperties,InVivo_Animal",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Deeken, C 2011b",10.1002/jbm.b.31819,21394904,Characterization of bionanocomposite scaffolds comprised of amine-functionalized gold nanoparticles and silicon carbide nanowires crosslinked to an acellular porcine tendon,"Deeken, CR and Fox, DB and Bachman, SL and Ramshaw, BJ and Grant, SA","Journal of biomedical materials research. Part B, Applied biomaterials",2011,5,,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,OtherTechnologies,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,"MaterialProperties,Benchtop,CellCulture",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"Deku, F 2018a",10.1088/1741-2552/aa8f8b,28952963,Amorphous silicon carbide ultramicroelectrode arrays for neural stimulation and recording,"Deku, F and Cohen, Y and Joshi-Imre, A and Kanneganti, A and Gardner, TJ and Cogan, SF",Journal of neural engineering,2018,2,1,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,Benchtop,InVivo_Animal",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Deku, F 2018b",10.3390/mi9100480,30424413,Amorphous Silicon Carbide Platform for Next Generation Penetrating Neural Interface Designs,"Deku, F and Frewin, CL and Stiller, A and Cohen, Y and Aqeel, S and Joshi-Imre, A and Black, B and Gardner, TJ and Pancrazio, JJ and Cogan, SF",Micromachines,2018,9,20,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,MaterialProperties,InVivo_Animal",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Deku, F 2018c",10.1002/jbm.b.34258,30321479,Effect of oxidation on intrinsic residual stress in amorphous silicon carbide films,"Deku, F and Mohammed, S and Joshi-Imre, A and Maeng, J and Danda, V and Gardner, TJ and Cogan, SF","Journal of biomedical materials research. Part B, Applied biomaterials",2018,10,15,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"Fabrication,MaterialProperties",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Delgado-Lopez, J 2013",10.1016/j.jinorgbio.2013.04.004,23648093,Bio-inspired citrate-functionalized apatite thin films crystallized on Ti-6Al-4V implants pre-coated with corrosion resistant layers,"Delgado-Lopez, JM and Iafisco, M and Rodriguez-Ruiz, I and Gomez-Morales, J",Journal of inorganic biochemistry,2013,10,,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"Fabrication,MaterialProperties",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Dey, A 2012",10.1002/cplu.201200118,,Biomimetic Mineralization of Calcium Phosphate on a Functionalized Porous Silicon Carbide Biomaterial,"Dey, A and van den Hoogen, CJ and Rosso, M and Lousberg, N and Hendrix, MMRM and Friedrich, H and Rami­rez-Rico, J and Zuilhof, H and de With, G and Sommerdijk, NAJM",CHEMPLUSCHEM,2012,8,,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"Fabrication,Benchtop",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Di Trani, N 2020",10.3390/pharmaceutics12070679,32707665,Silicon Nanofluidic Membrane for Electrostatic Control of Drugs and Analytes Elution,"Di Trani, N and Silvestri, A and Wang, Y and Demarchi, D and Liu, X and Grattoni, A",Pharmaceutics,2020,7,19,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,DrugRelease,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"MaterialProperties,Benchtop",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"Diaz-Botia, C 2017a",10.1109/NER.2017.8008319,,Fabrication of all-silicon carbide neural interfaces,"Diaz-Botia, C. A. and Luna, L. E. and Chamanzar, M. and Carraro, C. and Sabes, P. N. and Maboudian, R. and Maharbiz, M. M. ",2017 8th International IEEE/EMBS Conference on Neural Engineering (NER),2017,5,,2,"a-SiC,3C-SiC",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"Fabrication,Benchtop",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Diaz-Botia, C 2017b",10.1088/1741-2552/aa7698,28573982,A silicon carbide array for electrocorticography and peripheral nerve recording,"Diaz-Botia, CA and Luna, LE and Neely, RM and Chamanzar, M and Carraro, C and Carmena, JM and Sabes, PN and Maboudian, R and Maharbiz, MM",Journal of neural engineering,2017,8,16,2,"a-SiC,3C-SiC",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,"Fabrication,MaterialProperties,Benchtop,InVivo_Animal",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"Diaz-Rodriguez, P 2011",10.1007/s10856-010-4196-0,21132518,Bio-inspired porous SiC ceramics loaded with vancomycin for preventing MRSA infections,"Diaz-Rodriguez, P and Landin, M and Rey-Rico, A and Couceiro, J and  Coenye, T and González, P and Serra, J and Lopez-Alvarez, M and Leon, B",Journal of materials science. Materials in medicine,2011,2,,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,"Ortho_Dental,DrugRelease",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,"MaterialProperties,Benchtop,CellCulture",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"Diaz-Rodriguez, P 2014",10.1016/j.msec.2014.04.058,24907756,Key parameters in blood-surface interactions of 3D bioinspired ceramic materials,"Diaz-Rodriguez, P and Gonzalez, P and Serra, J and Landin, M","Materials science & engineering. C, Materials for biological applications",2014,8,1,1,crystalline_unspecified,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,OtherTechnologies,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,"Fabrication,MaterialProperties,Benchtop,CellCulture",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Diaz-Rodriguez, P 2015",10.1088/1748-6041/10/4/045017,26238485,The synergistic effect of VEGF and biomorphic silicon carbides topography on in vivo angiogenesis and human bone marrow derived mesenchymal stem cell differentiation,"Diaz-Rodriguez, P and Gomez-Amoza, JL and Landin, M","Biomedical materials (Bristol, England)",2015,8,4,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,"Benchtop,CellCulture,InVivo_Animal",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"Dobariya, A 2022",10.1038/s41598-022-19688-2,36109613,Recording of pig neuronal activity in the comparative context of the awake human brain,"Dobariya, A. and El Ahmadieh, T.Y. and Good, L.B. and Hernandez-Reynoso, A.G. and Jakkamsetti, V. and Brown, R. and Dunbar, M. and Ding, K. and Luna, J. and Kallem, R.R. and Putnam, W.C. and Shelton, J.M. and Evers, B.M. and Azami, A. and Geramifard, N. and Cogan, S.F. and Mickey, B. and Pascual, J.M.",Nature Scientific reports,2022,9,15,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"InVivo_Animal,InVivo_Human",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Dos Santos Calderon, P 2024",10.3390/ma17153843,39124507,Impact of Silicon Carbide Coating and Nanotube Diameter on the Antibacterial Properties of Nanostructured Titanium Surfaces,"Dos Santos Calderon, P and Chairmandurai, A and Xia, X and Rocha, FG and Camargo, SEA and Lakshmyya, K and Ren, F and Esquivel-Upshaw, JF","Materials (Basel, Switzerland)",2024,8,2,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,"Fabrication,MaterialProperties,Benchtop,CellCulture",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Duran-Martinez, A 2021",10.1557/s43580-021-00159-1,,Inter-layer coatings for softening polymer-based neural interfaces,"Duran-Martinez, AC and Rocha-Flores, PE and Garcia-Sandoval, A and Badhe, YR and Krishnasamy, R and Joshi-Imre, A and Cogan, SF and Voit, WE",MRS ADVANCES,2021,11,16,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"MaterialProperties,Benchtop",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"Eck, S 1995",10.1109/IEMBS.1995.579818,,Integrated thin film resistor arrays for electronic implants based on microcrystalline silicon carbide,"Eck, S. and Bolt, A. and Schaldach, M.",Proceedings of 17th International Conference of the Engineering in Medicine and Biology Society,1995,9,20,2,"a-SiC,crystalline_unspecified",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,OtherTechnologies,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,"Fabrication,MaterialProperties",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Elbaz, M 2002",10.1002/ccd.10240,12112881,Does stent design affect the long-term outcome after coronary stenting?,"Elbaz, M and El Mokhtar, E and Fourcade, J and Mourali, S and Hobeika, R and Carrié, D and Puel, J",Catheterization and Cardiovascular Interventions,2002,7,,2,"a-SiC,other",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Cardiovascular,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"CellCulture,InVivo_Human",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"El-Ghannam, A 2020",10.1002/jbm.a.36973,32319213,Synthesis and characterization of porous bioactive SiC tissue engineering scaffold,"El-Ghannam, A and Greenier, M and Johnson, M and Marriott, I",Journal of biomedical materials research. Part A,2020,4,22,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,"Fabrication,MaterialProperties,Benchtop,CellCulture",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"El-Ghannam, A 2025",10.1002/jbm.a.37801,,"Novel 3D printed bioactive SiC orthopedic screw promotes bone growth associated activities by macrophages, neurons, and osteoblasts","El-Ghannam, A and Sultana, F and Dréau, Didier and Tiwari, A and Yang, IH and AlFotawi, R and Knabe-Ducheyne, C",Journal of biomedical materials research. Part A,2025,1,,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,"Fabrication,MaterialProperties,CellCulture,InVivo_Animal",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"Faisal, S 2021",10.1088/1741-2552/ac4085,34874291,Non-invasive on-skin sensors for brain machine interfaces with epitaxial graphene,"Faisal, SN and Amjadipour, M and Izzo, K and Singer, JA and Bendavid, A and Lin, CT and Iacopi, F",Journal of neural engineering,2021,12,23,1,3C-SiC,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"MaterialProperties,Benchtop,InVivo_Human",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"Farshadi, M 2019",10.1002/cbin.11124,30811084,Nanocomposite scaffold seeded with mesenchymal stem cells for bone repair,"Farshadi, M and Johari, B and Erfani, Ezadyar, E and Gholipourmalekabadi, M and Azami, M and Madanchi, H and Haramshahi, SMA and Yari, A and Karimizade, A and Nekouian, R and Samadikuchaksaraei, A",Cell biology international,2019,12,,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"CellCulture,InVivo_Animal",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Fathi, F 2023",10.1021/acs.analchem.2c03609,36893723,Nitrogen-Doped 4H Silicon Carbide Single-Crystal Electrode for Selective Electrochemical Sensing of Dopamine,"Fathi, F and Sueoka, B and Zhao, F and Zeng, X",Analytical chemistry,2023,3,21,1,4H-SiC,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"Neural,Biosensors",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,"MaterialProperties,Benchtop",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"Feng, C 2021a",10.1007/978-3-030-65261-6_70,,Silicon Carbide Biotechnology: Carbon-Based Neural Interfaces,"Feng, CY and Beygi, M and Frewin, CL and Tanjil, MRE and Kumar, A and Wang, MC and Saddow, SE",TMS 2021 150TH ANNUAL MEETING & EXHIBITION SUPPLEMENTAL PROCEEDINGS,2021,2,,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"Fabrication,MaterialProperties",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Feng, C 2021b",10.3390/mi12070821,34357231,A Flexible a-SiC-Based Neural Interface Utilizing Pyrolyzed-Photoresist Film (C) Active Sites,"Feng, C. and Frewin, C.L. and Tanjil, M.R. and Everly, R. and Bieber, J. and Kumar, A. and Wang, M.C. and Saddow, S.E.",Micromachines,2021,7,13,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,MaterialProperties,Benchtop",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"Filardo, G 2014",10.1089/ten.TEA.2013.0108,24099033,New bio-ceramization processes applied to vegetable hierarchical structures for bone regeneration: an experimental model in sheep,"Filardo, G and Kon, E and Tampieri, A and Cabezas-Rodríguez, R and Di Martino, A and Fini, M and Giavaresi, G and Lelli, M and Martinez-Fernandez, J and Martini, L and Ramirez-Rico, J and Salamanna, F and Sandri, M and Sprio, S and Marcacci, M",Tissue engineering. Part A,2014,2,,1,other,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,Ortho_Dental,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,"Fabrication,MaterialProperties,Benchtop,InVivo_Animal",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"Fournier, J 2001",10.1016/s0300-8932(01)76358-0,11412747,Initial results and 6 month clinical follow-up after implantation of a silicon carbide coated coronary stent,"Fournier, JA and Calabuig, J and Merchan, A and Auge, JM and Melgares, R and Colman, T and Martín De Dios, R and Insag, L and Santos, I",Revista Española de Cardiología ,2001,5,,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Cardiovascular,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"CellCulture,InVivo_Human",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"Frewin, C 2009",10.1002/jmr.966,19585542,Atomic force microscopy analysis of central nervous system cell morphology on silicon carbide and diamond substrates,"Frewin, CL and Jaroszeski, M and Weeber, E and Muffly, KE and Kumar, A and Peters, M and Oliveros, A and Saddow, SE",Journal of molecular recognition : JMR,2009,9,,1,3C-SiC,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"MaterialProperties,Benchtop,CellCulture",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"Frewin, C 2011",10.1109/IEMBS.2011.6090582,22254961,Single-crystal cubic silicon carbide: An in vivo biocompatible semiconductor for brain machine interface devices,"Frewin, CL and Locke, C and Saddow, SE and Weeber, EJ",2011 Annual International Conference of the IEEE Engineering in Medicine and Biology Society,2011,8,30,1,3C-SiC,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,MaterialProperties,InVivo_Animal",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Frewin, C 2013",10.1109/NER.2013.6696021,,Silicon carbide neural implants: In vivo neural tissue reaction,"Frewin, CL and Locke, C and Mariusso, L and Weeber, EJ and Saddow, SE",2013 6TH INTERNATIONAL IEEE/EMBS CONFERENCE ON NEURAL ENGINEERING (NER),2013,11,6,1,3C-SiC,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,MaterialProperties,InVivo_Animal",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Frewin, C 2016",10.1149/07512.0039ecst,,Silicon Carbide As a Robust Neural Interface (Invited),"Frewin, CL and Bernardin, E and Deku, F and Everly, R and Ul Hassan, J and Pancrazio, JJ and Saddow, SE",GALLIUM NITRIDE AND SILICON CARBIDE POWER TECHNOLOGIES 6,2016,,,2,"a-SiC,4H-SiC",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,MaterialProperties,Benchtop",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"Gavalas, M 2025",10.3390/coatings15010106,,Temperature Influence on the Deposition of Nitrogen-Doped Silicon Carbide Polycrystalline Films,"Gavalas, M and Greenhorn, S and Mercier, F and Zekentes, K",COATINGS,2025,1,,1,3C-SiC,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,MaterialProperties,Benchtop",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"Gazziro, M 2015",10.1109/EMBC.2015.7319537,,Transmission of wireless neural signals through a 0.18µm CMOS low-power amplifier,"Gazziro, M and Braga, C. F. R. and Moreira, D. A.  and Carvalho, A. C. P. L. F. and  Rodrigues, J. F. and Navarro, J. S. and Ardila, J. C. M. and Mioni, D. P.  and  Pessatti, M. and Fabbro, P.  and Freewin, C. and Saddow, S. E.",2015 37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2015,,,2,"a-SiC,3C-SiC",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Benchtop,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Geramifard, N 2022a",10.1088/1741-2552/ac5bf4,35263724,Insertion mechanics of amorphous SiC ultra-micro scale neural probes,"Geramifard, N. and Dousti, B. and Nguyen, C. and Abbott, J. and Cogan, S.F. and Varner, V.D.",Journal of neural engineering,2022,4,8,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,Benchtop,InVivo_Animal",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Geramifard, N 2022b",10.3390/mi13101692,36296045,A Novel 3D Helical Microelectrode Array for In Vitro Extracellular Action Potential Recording,"Geramifard, N and Lawson, J and Cogan, SF and Black, BJ",Micromachines,2022,10,8,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,Benchtop,CellCulture",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Geramifard, N 2024",10.1021/acsami.4c11773,,Flexible and Extensible Ribbon-Cable Interconnects for Implantable Electrical Neural Interfaces,"Geramifard, N and Khajehzadeh, M and Dousti, B and Abbott, JR and Nguyen, CK and Hernandez-Reynoso, AG and Joshi-Imre, A and Varner, VD and Cogan, SF",ACS APPLIED MATERIALS & INTERFACES,2024,10,30,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,"Fabrication,MaterialProperties,Benchtop,InVivo_Animal",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"Ghazavi, A 2020",10.1016/j.bios.2020.112608,33035896,Intraneural ultramicroelectrode arrays for function-specific interfacing to the vagus nerve,"Ghazavi, A and Gonzalez-Gonzalez, MA and Romero-Ortega, MI and Cogan, SF ",Biosensors & bioelectronics,2020,9,22,1,a-SiC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Neural,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,"Fabrication,Benchtop,InVivo_Animal",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
