,key,refID,title,authors,year,month,day,doi,correction_doi,language,journal,abstract,notes,keywords,pubmed_id,SiC_Type,Application,review_article,amorphousSiC,otherSiC,crystalline_other_unspecified,crystalline_3C-SiC,crystalline_4H-SiC,crystalline_6H-SiC,NeuralEng,MaterialProperties,FabricationMethods,BenchtopData
1,rayyan-66582582,"Abbott, J 2024",Planar amorphous silicon carbide microelectrode arrays for chronic recording in rat motor cortex.,"Abbott, J.R. and Jeakle, E.N. and Haghighi, P and Usoro, J.O. and Sturgill, BS and Wu, Y. and Geramifard, N. and Radhakrishna, R. and Patnaik, S. and Nakajima, S. and Hess, J. and Mehmood, Y. and Devata, V. and Vijayakumar, G. and Sood, A . and Doan, Thai T.T. and Dogra, K. and Hernandez-Reynoso, A.G. and Pancrazio, J.J. and Cogan, S.F.",2024,3.0,21,10.1016/j.biomaterials.2024.122543,,eng,Biomaterials,"Chronic implantation of intracortical microelectrode arrays (MEAs) capable of recording from individual neurons can be used for the development of brain-machine interfaces. However, these devices show reduced recording capabilities under chronic conditions due, at least in part, to the brain's foreign body response (FBR). This creates a need for MEAs that can minimize the FBR to possibly enable long-term recording. A potential approach to reduce the FBR is the use of MEAs with reduced cross-sectional geometries. Here, we fabricated 4-shank amorphous silicon carbide (a-SiC) MEAs and implanted them into the motor cortex of seven female Sprague-Dawley rats. Each a-SiC MEA shank was 8Â Î¼m thick by 20Â Î¼m wide and had sixteen sputtered iridium oxide film (SIROF) electrodes (4 per shank). A-SiC was chosen as the fabrication base for its high chemical stability, good electrical insulation properties, and amenability to thin film fabrication. Electrochemical analysis and neural recordings were performed weekly for 4 months. MEAs were characterized pre-implantation in buffered saline and in vivo using electrochemical impedance spectroscopy and cyclic voltammetry at 50Â mV/s and 50,000Â mV/s. Neural recordings were analyzed for single unit activity. At the end of the study, animals were sacrificed for immunohistochemical analysis. We observed statistically significant, but small, increases in 1 and 30Â kHz impedance values and 50,000Â mV/s charge storage capacity over the 16-week implantation period. Slow sweep 50Â mV/s CV and 1Â Hz impedance did not significantly change over time. Impedance values increased from 11.6Â MÎ© to 13.5Â MÎ©Â at 1Â Hz, 1.2Â MÎ©-2.9Â MÎ©Â at 1Â kHz, and 0.11Â MÎ©-0.13Â MÎ©Â at 30Â kHz over 16 weeks. The median charge storage capacity of the implanted electrodes at 50Â mV/s was 58.1Â mC/cm(2) on week 1 and 55.9Â mC/cm(2) on week 16, and at 50,000Â mV/s, 4.27Â mC/cm(2) on week 1 and 5.93Â mC/cm(2) on week 16. Devices were able to record neural activity from 92% of all active channels at the beginning of the study, At the study endpoint, a-SiC devices were still recording single-unit activity on 51% of electrochemically active electrode channels. In addition, we observed that the signal-to-noise ratio experienced a small decline of -0.19 per week. We also classified observed units as fast and slow repolarizing based on the trough-to-peak time. Although the overall presence of single units declined, fast and slow repolarizing units declined at a similar rate. At recording electrode depth, immunohistochemistry showed minimal tissue response to the a-SiC devices, as indicated by statistically insignificant differences in activated glial cell response between implanted brains slices and contralateral sham slices at 150Â Î¼m away from the implant location, as evidenced by GFAP staining. NeuN staining revealed the presence of neuronal cell bodies close to the implantation site, again statistically not different from a contralateral sham slice. These results warrant further investigation of a-SiC MEAs for future long-term implantation neural recording studies.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,In Vivo Data,Benchtop/Soak Testing",Siliconcarbide; Polyimide; Microelectrode; Immunohistochemistry; SIROF,38547834,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,False,True,True
12,rayyan-66582853,"Babaroud, N 2020",PDMS-Parylene Adhesion Improvement via Ceramic Interlayers to Strengthen the Encapsulation of Active Neural Implants,"Babaroud, NB and Dekker, R and Serdijn, W and Giagka, V",2020,7.0,,10.1109/EMBC44109.2020.9175646,,eng,2020 42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),"Parylene-C has been used as a substrate and encapsulation material for many implantable medical devices. However, to ensure the flexibility required in some applications, minimize tissue reaction, and protect parylene from degradation in vivo an additional outmost layer of polydimethylsiloxane (PDMS) is desired. In such a scenario, the adhesion of PDMS to parylene is of critical importance to prevent early failure caused by delamination in the harsh environment of the human body. Towards this goal, we propose a method based on creating chemical covalent bonds using intermediate ceramic layers as adhesion promoters between PDMS and parylene.To evaluate our concept, we prepared three different sets of samples with PDMS on parylene without and with oxygen plasma treatment (the most commonly employed method to increase adhesion), and samples with our proposed ceramic intermediate layers of silicon carbide (SiC) and silicon dioxide (SiO2). The samples were soaked in phosphate-buffered saline (PBS) solution at room temperature and were inspected under an optical microscope. To investigate the adhesion property, cross-cut tape tests and peel tests were performed. The results showed a significant improvement of the adhesion and in-soak long-term performance of our proposed encapsulation stack compared with PDMS on parylene and PDMS on plasma-treated parylene. We aim to use the proposed solution to package bare silicon chips on active implants.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: Neural Eng,General SiC,Fabrication Method,Material Properties,Benchtop/Soak Testing",Adhesives;Silicon carbide;Ceramics;Encapsulation;Delamination;Substrates;Chemicals,33018733,other,Neural_Engineering,False,False,True,False,False,False,False,True,True,True,True
14,rayyan-66582680,"Bernardin, E 2018",Demonstration of a Robust All-Silicon-Carbide Intracortical Neural Interface.,"Bernardin, EK and Frewin, CL and Everly, R and Ul Hassan, J and Saddow, SE",2018,8.0,18,10.3390/mi9080412,10.3390/mi9090451,eng,Micromachines,"Intracortical neural interfaces (INI) have made impressive progress in recent years but still display questionable long-term reliability. Here, we report on the development and characterization of highly resilient monolithic silicon carbide (SiC) neural devices. SiC is a physically robust, biocompatible, and chemically inert semiconductor. The device support was micromachined from p-type SiC with conductors created from n-type SiC, simultaneously providing electrical isolation through the resulting p-n junction. Electrodes possessed geometric surface area (GSA) varying from 496 to 500 K Î¼mÂ². Electrical characterization showed high-performance p-n diode behavior, with typical turn-on voltages of ~2.3 V and reverse bias leakage below 1 nArms. Current leakage between adjacent electrodes was ~7.5 nArms over a voltage range of -50 V to 50 V. The devices interacted electrochemically with a purely capacitive relationship at frequencies less than 10 kHz. Electrode impedance ranged from 675 Â± 130 kÎ© (GSA = 496 ÂµmÂ²) to 46.5 Â± 4.80 kÎ© (GSA = 500 K ÂµmÂ²). Since the all-SiC devices rely on the integration of only robust and highly compatible SiC material, they offer a promising solution to probe delamination and biological rejection associated with the use of multiple materials used in many current INI devices.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Material Properties,Polycrystalline SiC,Benchtop/Soak Testing",Neural interface; silicon carbide; robust microelectrode,30424345,amorphous,Neural_Engineering,False,True,False,False,False,True,False,True,True,True,True
17,rayyan-66582669,"Beygi, M 2019",Fabrication of a Monolithic Implantable Neural Interface from Cubic Silicon Carbide.,"Beygi, M and Bentley, JT and Frewin, CL and Kuliasha, CA and Takshi, A and Bernardin, EK and La Via, F and Saddow, SE",2019,6.0,29,10.3390/mi10070430,,eng,Micromachines,"One of the main issues with micron-sized intracortical neural interfaces (INIs) is their long-term reliability, with one major factor stemming from the material failure caused by the heterogeneous integration of multiple materials used to realize the implant. Single crystalline cubic silicon carbide (3C-SiC) is a semiconductor material that has been long recognized for its mechanical robustness and chemical inertness. It has the benefit of demonstrated biocompatibility, which makes it a promising candidate for chronically-stable, implantable INIs. Here, we report on the fabrication and initial electrochemical characterization of a nearly monolithic, Michigan-style 3C-SiC microelectrode array (MEA) probe. The probe consists of a single 5 mm-long shank with 16 electrode sites. An ~8 Âµm-thick p-type 3C-SiC epilayer was grown on a silicon-on-insulator (SOI) wafer, which was followed by a ~2 Âµm-thick epilayer of heavily n-type (n(+)) 3C-SiC in order to form conductive traces and the electrode sites. Diodes formed between the p and n(+) layers provided substrate isolation between the channels. A thin layer of amorphous silicon carbide (a-SiC) was deposited via plasma-enhanced chemical vapor deposition (PECVD) to insulate the surface of the probe from the external environment. Forming the probes on a SOI wafer supported the ease of probe removal from the handle wafer by simple immersion in HF, thus aiding in the manufacturability of the probes. Free-standing probes and planar single-ended test microelectrodes were fabricated from the same 3C-SiC epiwafers. Cyclic voltammetry (CV) and electrochemical impedance spectroscopy (EIS) were performed on test microelectrodes with an area of 491 Âµm(2) in phosphate buffered saline (PBS) solution. The measurements showed an impedance magnitude of 165 kÎ© Â± 14.7 kÎ© (mean Â± standard deviation) at 1 kHz, anodic charge storage capacity (CSC) of 15.4 Â± 1.46 mC/cm(2), and a cathodic CSC of 15.2 Â± 1.03 mC/cm(2). Current-voltage tests were conducted to characterize the p-n diode, n-p-n junction isolation, and leakage currents. The turn-on voltage was determined to be on the order of ~1.4 V and the leakage current was less than 8 Î¼A(rms). This all-SiC neural probe realizes nearly monolithic integration of device components to provide a likely neurocompatible INI that should mitigate long-term reliability issues associated with chronic implantation.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Fabrication Method,Material Properties,Polycrystalline SiC,Benchtop/Soak Testing",3C-SiC; MEA; SiC; amorphous SiC; doped SiC; electrochemical characterization; epitaxial growth; microelectrode array; n-type; neural implant; neural interface; neural probe; p-type,31261887,amorphous,Neural_Engineering,False,True,False,False,True,False,False,True,True,True,True
19,rayyan-66582997,"Beygi, M 2021b",FABRICATION OF A MONOLITHIC SILICON CARBIDE IMPLANTABLE NEURAL INTERFACE USING SOI FOR EASE OF MANUFACTURE,"Beygi, M and Bentley, JT and Frewin, CL and Kuliasha, CA and Takshi, A and Bernardin, EK and La Via, F and Judy, J and Saddow, SE",2021,6.0,29,10.21300/21.4.2021.11,,eng,TECHNOLOGY AND INNOVATION,"One of the main issues with micron-sized intracortical neural interfaces (INIs) is their long-term reliability, with one major factor stemming from the material failure caused by the heterogeneous integration of multiple materials. Single crystalline cubic silicon carbide (3C-SiC) has the benefit of demonstrated biocompatibility, which makes it a promising candidate for chronically stable, implantable INIs. Here, we report on the fabrication and initial electrochemical characterization of a nearly monolithic, Michigan-style 3C-SiC microelectrode array probe. The probe consists of a single 5 mm-long shank with 16 electrode sites. An similar to 8 mu m-thick p-type 3C-SiC epilayer was grown on a silicon-on-insulator (SOI) wafer, which was followed by a similar to 2 mu m-thick epilayer of heavily n-type (n+) 3C-SiC in order to form conductive traces and the electrode sites. Diodes formed between the p and n+ layers provided substrate isolation between the channels. A thin layer of amorphous silicon carbide (a-SiC) was deposited via plasma-enhanced chemical vapor deposition to insulate the surface of the probe from the external environment. Forming the probes on an SOI wafer supported the ease of probe removal from the handle wafer by simple immersion in hydrofluoric acid HF, thus aiding in the manufacturability of the probes. Free-standing probes and planar single-ended test microelectrodes were fabricated from the same 3C-SiC epiwafers. Cyclic voltammetry and electrochemical impedance spectroscopy were performed on test microelectrodes with an area of 491 mu m(2) in phosphate buffered saline solution. In addition, current-voltage tests were conducted to characterize the p-n diode, n-p-n junction isolation, and leakage currents. This all-SiC neural probe realizes monolithic integration of device components to provide a likely neurocompatible INI that should mitigate long-term reliability issues associated with chronic implantation.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Fabrication Method,Material Properties,Polycrystalline SiC,Benchtop/Soak Testing",,,amorphous,Neural_Engineering,False,True,False,False,True,False,False,True,True,True,True
24,rayyan-66582668,"Bonaventura, G 2019",Biocompatibility between Silicon or Silicon Carbide surface and Neural Stem Cells.,"Bonaventura, G and Iemmolo, R and La Cognata, V and Zimbone, M and La Via, F and Fragala, ME and Barcellona, ML and Pellitteri, R and Cavallaro, S",2019,8.0,8,10.1038/s41598-019-48041-3,,eng,Scientific reports,"Silicon has been widely used as a material for microelectronic for more than 60 years, attracting considerable scientific interest as a promising tool for the manufacture of implantable medical devices in the context of neurodegenerative diseases. However, the use of such material involves responsibilities due to its toxicity, and researchers are pushing towards the generation of new classes of composite semiconductors, including the Silicon Carbide (3C-SiC). In the present work, we tested the biocompatibility of Silicon and 3C-SiC using an in vitro model of human neuronal stem cells derived from dental pulp (DP-NSCs) and mouse Olfactory Ensheathing Cells (OECs), a particular glial cell type showing stem cell characteristics. Specifically, we investigated the effects of 3C-SiC on neural cell morphology, viability and mitochondrial membrane potential. Data showed that both DP-NSCs and OECs, cultured on 3C-SiC, did not undergo consistent oxidative stress events and did not exhibit morphological modifications or adverse reactions in mitochondrial membrane potential. Our findings highlight the possibility to use Neural Stem Cells plated on 3C-SiC substrate as clinical tool for lesioned neural areas, paving the way for future perspectives in novel cell therapies for neuro-degenerated patients.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: Neural Eng,Polycrystalline SiC,Biocompatibility, Cell Culture","Animals;Biocompatible Materials/*chemistry/pharmacology/therapeutic use;Carbon Compounds, Inorganic/chemistry/pharmacology;Cell Survival/drug effects;Humans;Mice;Neural Stem Cells/*drug effects;Neuroglia/drug effects;Neurons/*drug effects;Semiconductors;Silicon/*chemistry/pharmacology/therapeutic use;Silicon Compounds/chemistry/pharmacology;Surface Properties",31395932,3C-SiC ,Neural_Engineering,False,False,False,False,True,False,False,True,False,False,True
41,rayyan-66582793,"Cogan, S 2003",Plasma-enhanced chemical vapor deposited silicon carbide as an implantable dielectric coating.,"Cogan, SF and Edell, DJ and Guzelian, AA and Ping Liu, Y and Edell, R",2003,12.0,1,10.1002/jbm.a.10152,,eng,Journal of biomedical materials research. Part A,"Amorphous silicon carbide (a-SiC) films, deposited by plasma-enhanced chemical vapor deposition (PECVD), have been evaluated as insulating coatings for implantable microelectrodes. The a-SiC was deposited on platinum or iridium wire for measurement of electrical leakage through the coating in phosphate-buffered saline (PBS, pH 7.4). Low leakage currents of <10(-11) A were observed over a +/-5-V bias. The electronic resistivity of a-SiC was 3 x 10(13) Omega-cm. Dissolution rates of a-SiC in PBS at 37 and 90 degrees C were determined from changes in infrared absorption band intensities and compared with those of silicon nitride formed by low-pressure chemical vapor deposition (LPCVD). Dissolution rates of LPCVD silicon nitride were 2 nm/h and 0.4 nm/day at 90 and 37 degrees C, respectively, while a-SiC had a dissolution rate of 0.1 nm/h at 90 degrees C and no measurable dissolution at 37 degrees C. Biocompatibility was assessed by implanting a-SiC-coated quartz discs in the subcutaneous space of the New Zealand White rabbit. Histological evaluation showed no chronic inflammatory response and capsule thickness was comparable to silicone or uncoated quartz controls. Amorphous SiC-coated microelectrodes were implanted in the parietal cortex for periods up to 150 days and the cortical response evaluated by histological evaluation of neuronal viability at the implant site. The a-SiC was more stable in physiological saline than LPCVD Si(3)N(4) and well tolerated in the cortex.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,In Vivo Data,Material Properties,Benchtop/Soak Testing","Animals;*Carbon Compounds, Inorganic;Cerebral Cortex;*Coated Materials, Biocompatible;*Electrodes, Implanted;Neurons/cytology;Rabbits;*Silicon Compounds;Spectrophotometry, Infrared",14613234,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,True,False,True
42,rayyan-66582428,"Cogan, S 2013",Stability of thin-film wireless recording and stimulation devices for epilepsy monitoring,"Cogan, Stuart F. and Troyk, Philip R. and DeMichele, Glenn",2013,11.0,,10.1109/NER.2013.6696106,,eng,2013 6th International IEEE/EMBS Conference on Neural Engineering (NER),"The stability of thin-film multielectrode devices fabricated on flexible polyimide substrates was evaluated for wireless subdural recording and stimulation in intracranial electrocorticogram (ECoG) monitoring prior to epilepsy surgery. Devices were fabricated with either 48 or 64 sputtered iridium oxide (SIROF) electrodes. Power and bidirectional data transfer were provided via 121 kHz and 13.56 MHz RF links, respectively. A 64-channel application specific integrated circuit (ASIC) was developed for the devices and provided both the recording and stimulation capability. The ASIC, supporting discrete electronic components, and data/power coils were incorporated on a polyimide substrate and protected from the saline environment by a combination of amorphous silicon carbide (a-SiC) and silicone encapsulants. Soak testing at 37Â°C in saline under continuous power, and unpowered soak testing at 87Â°C, were conducted for 29 days and 12 days, respectively. Normal function of the ASIC and device, as measured by the consistency in RMS signal strength and stimulation driving voltage, was observed over the test periods. The charge capacity measured by cyclic voltammetry and the impedance of the SIROF electrodes remained stable over 20 days at 87Â°C. The results suggest that a-SiC and silicone encapsulants can protect active electronics for implantation periods up to 29 days, the maximum length anticipated for ECoG monitoring in epilepsy patients.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Benchtop/Soak Testing",Electrodes;Application specific integrated circuits;Wireless communication; Electrocorticogram;Polyimides;Impedance;Arrays;Monitoring,,amorphous,Neural_Engineering,False,True,True,False,False,False,False,True,False,True,True
44,rayyan-66582560,"Cvancara, P 2019",3D Patterned Thin-Film Electrodes for Neural Prosthetics-Proof of Concept,"Cvancara, P. and Newman, S. and Stieglitz, T.",2019,3.0,,10.1109/NER.2019.8716920,,eng,2019 9th International IEEE/EMBS Conference on Neural Engineering (NER),"The applications of polyimide (PI) based thin-film electrodes in neural implants has been steadily increasing in the last decades. Beside the advantages of factors such as size reduction and chemical inertness, the adhesion between PI and metals lacks the necessary robustness for chronic implantation [1]. Adhesion promoters like silicon carbide (SiC) and titanium help increase the long-term stability [1]-[3]. However crack formation is still probable in thin-film metallization of active contact sites, which can lead to detrimental thin-film metal delamination. This work presents our process to integrate 3D groove structures into the active contact sites, thereby reducing the probability of crack formation. The contact sites were entirely covered with a sputtered iridium oxide film (SIROF) and showed more conformable electrochemical properties compared to regular planar SIROF contact sites.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Fabrication Method,Material Properties,Benchtop/Soak Testing","Electrodes;Adhesives;Platinum;Silicon carbide;SIROF,Polyimide;Delamination",,other,Neural_Engineering,False,False,True,False,False,False,False,True,True,True,True
51,rayyan-66582691,"Deku, F 2018a",Amorphous silicon carbide ultramicroelectrode arrays for neural stimulation and recording.,"Deku, F and Cohen, Y and Joshi-Imre, A and Kanneganti, A and Gardner, TJ and Cogan, SF",2018,2.0,1,10.1088/1741-2552/aa8f8b,,eng,Journal of neural engineering,"OBJECTIVE: Foreign body response to indwelling cortical microelectrodes limits the reliability of neural stimulation and recording, particularly for extended chronic applications in behaving animals. The extent to which this response compromises the chronic stability of neural devices depends on many factors including the materials used in the electrode construction, the size, and geometry of the indwelling structure. Here, we report on the development of microelectrode arrays (MEAs) based on amorphous silicon carbide (a-SiC). APPROACH: This technology utilizes a-SiC for its chronic stability and employs semiconductor manufacturing processes to create MEAs with small shank dimensions. The a-SiC films were deposited by plasma enhanced chemical vapor deposition and patterned by thin-film photolithographic techniques. To improve stimulation and recording capabilities with small contact areas, we investigated low impedance coatings on the electrode sites. The assembled devices were characterized in phosphate buffered saline for their electrochemical properties. MAIN RESULTS: MEAs utilizing a-SiC as both the primary structural element and encapsulation were fabricated successfully. These a-SiC MEAs had 16 penetrating shanks. Each shank has a cross-sectional area less than 60 Âµm(2) and electrode sites with a geometric surface area varying from 20 to 200 Âµm(2). Electrode coatings of TiN and SIROF reduced 1â€‰kHz electrode impedance to less than 100 kÎ© from ~2.8 MÎ© for 100 Âµm(2) Au electrode sites and increased the charge injection capacities to values greater than 3 mC cm(-2). Finally, we demonstrated functionality by recording neural activity from basal ganglia nucleus of Zebra Finches and motor cortex of rat. SIGNIFICANCE: The a-SiC MEAs provide a significant advancement in the development of microelectrodes that over the years has relied on silicon platforms for device manufacture. These flexible a-SiC MEAs have the potential for decreased tissue damage and reduced foreign body response. The technique is promising and has potential for clinical translation and large scale manufacturing.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,In Vivo Data,Benchtop/Soak Testing","Animals;Basal Ganglia/*physiology;*Carbon Compounds, Inorganic/chemistry;*Coated Materials, Biocompatible/chemistry;Electric Stimulation/methods;*Electrodes, Implanted;Finches;Microelectrodes;Motor Cortex/*physiology;Rats;*Silicon Compounds/chemistry",28952963,amorphous,Neural_Engineering,False,True,False,False,False,False,False,True,False,True,True
57,rayyan-66582531,"Diaz-Botia, C 2017a",Fabrication of all-silicon carbide neural interfaces,"Diaz-Botia, C. A. and Luna, L. E. and Chamanzar, M. and Carraro, C. and Sabes, P. N. and Maboudian, R. and Maharbiz, M. M. ",2017,5.0,,10.1109/NER.2017.8008319,,eng,2017 8th International IEEE/EMBS Conference on Neural Engineering (NER),"A significant and recognized problem in implantable neural recording and stimulation probes is operational lifetime. It is well known that both electrophysiological recording and, to a lesser extent, stimulation probes suffer severe performance degradation over periods ranging from months to a few years. Performance degradation of implantable probes arises due to a number of factors, including systemic host response, glial scarring, cellular responses to non-inert materials and, importantly, probe material degradation and delamination. SiC has superior chemical inertness and molecule barrier properties that result in insulation endurance for long term applications in bodily fluids. We present a microfabrication process that employs both insulating and conducting silicon carbide thin films to produce a novel type of implantable neural probes which present no heterogenous material interfaces to the biological environment. The exterior of our devices is composed of seamless transitions between doped and insulating SiC, completely encapsulating metal traces necessary to reduce track resistivity. The fabrication process is specifically designed such that the only interfaces presented to the extracellular fluid are made entirely from SiC, thus rendering these arrays very resistant to long-term delamination and interface failure. This process presents an important path towards neural implants for truly chronic applications; the fabrication method can be readily applied to most variants of electrophysiological recording probes.","RAYYAN-INCLUSION: {""Rebecca""=>""Included""} | RAYYAN-LABELS: a-SiC,Neural Eng,Polycrystalline SiC",Silicon carbide;Electrodes;Insulation;Polyimides;Impedance;Degradation;Probes,,amorphous,Neural_Engineering,False,True,False,False,True,False,False,True,False,True,True
